,Dates,States,Titles,Comments,Ratings
0,2022-02-27,,Food not delivered,"After waiting 2hours we are told they won't be delivering our order, uber eats was good, total disaster to use now. Not happy, will be using menu log from now on.",1
1,2022-02-26,,Food quality,Ordered subway footlong meatballs tasted off. Rang store they didn’t give a toss . Raised a food safety issue .No refund offered and apparently issue is resolved. Will not be using uber any more,1
2,2022-02-25,,Food left on the grass median strip in the rain,After a 1.5h wait the restaurant claimed it was delivered and we find it in a paper bag in the pouring rain on the grass outside the gate. Offered a $5 credit. Pathetic,1
3,2022-02-25,SA,Order not delivered,"Would rate no star but wont accept less than one star.The online order stated was dropped off. Went to check front door not there, check side of the house not there. No car even showed up at the address to deliver order.Tried to  contact Uber but of course no number to call them. Went and did the online ""get help"" because order not delivered, but useless because something was wrong on their end, when it came to giving me a refund.All in all very poor service.",1
4,2022-02-23,WA,WAY TOO EXPENSIVE,"It’s been tough as a full time worker to order a simple food at the end of the day…Prices are extremely high, they don’t offer $0 delivery fees, they charge 30% on the deliveries and there’s 2 fees to apply on top of your order… honestly a simple burger and chips or a kebab with fries end up costing almost $40.. ?????I’m honestly frustrated with all food delivery services.. I’m over this!",2
5,2022-02-21,VIC,Uber Eats now unusable in the Dandenong Ranges,"Uber Eats used to be great - prompt delivery, no troubles at all.  In the past six months though, it's become unusable in the Dandenong Ranges; my last few orders have been cancelled some time *after* they were due to be delivered, presumably because there were no drivers available.  I've entirely stopped using them, because I have a young family to feed, so I need reliable service.",1
6,2022-02-20,,Abysmal.,My young families order did not exist yet charged me for it! Only when the order did not show it turns out Uber eats have given out a poorly working tablet to the local takeout (they are very good).,1
7,2022-02-18,QLD,"Wait hours for the order to not even show up, support useless, dogshit service.","Wait hours for the order to not even show up, support useless, dogshit service. old mates probably just ran off with a free feed because it tracked the order pretty much all the way to my unit then the driver has taken off, so yeh useless waste of  time service. use menulog instead.",1
8,2022-02-18,,The worst,"Uber eats is the worst service now. Can take 2 hours with cold food. No response to complaint, no delivery drivers nearby, stop offs on the way. I'm out. Hi door dash",1
9,2022-02-18,,An absolute loser of a driver,He spent forever going the wrong way! Never ever will use Uber eats again. Our food was cold. It was a complete disaster and he had no idea how to use a map!!,1
10,2022-02-16,NSW,Always stuffing up the order,"I am sick to death of constantly receiving incorrect orders and orders with missing items. The delivery drivers always relinquish themselves of responsibility and tell me to call the restaurant. The restaurants always confirm that they gave the driver the full and correct order. Given that this happens more often than not, and with various reputable restaurants, I am inclined to believe the restaurants. Yes, you can claim a refund through the app but it is still a major inconvenience. This service claims to deliver your order to your doorstep and they have failed to do so on too many occasions.",1
11,2022-02-16,,Terrible customer service. Sent wrong item,Terrible customer service. I was Sent wrong item and have to jump through many many hoops to get a refund. Avoid and use another platform with actual contactable customer service.,1
12,2022-02-16,,Crappiest business of all times. Always ends up cancelling orders. Why commit if you can’t deliver. Hopeless business,They always accept the order and end up cancelling it in about 2 hours. End up wasting so much time wherein I could have arranged something alternatively. Ridiculous customer service as well with no compensation for the time wasted. I have had to ho hungry multiple nights due to their negligence.,1
13,2022-02-14,NSW,Warning! Terrible take away app and terrible customer sevice,"We’ve just encountered an awful experience tonight with Uber eats.Waited more than an hour and half ago,The order never came.The order was then canceled without any explanation or contact.Tried to contact Uber eats support but difficult to get in touch with them, the only number we could find on the website is for Uber rider and Uber eats delivery person.We are disgusted with their customer service(which I don’t think it ever exited).I would definitely not suggesting the app to anyone!",1
14,2022-02-12,NSW,Dinner delivery cancelled after an hour and a half wait,"They cancelled my delivery as couldn't find a driver. Great! I wish there was a least someone to speak to regarding the issue.Will never use you again! Terrible, absolutely terrible",1
15,2022-01-31,,Food Hygiene Severe Breach,I provided clear evidence via 7 uploaded pictures as to what had occurred...,1
16,2022-01-30,SA,Awful,Awful experience every time. Woeful platform that really does not work with no one to talk to. Do not use Uber Eats. I must have 30 words so here you go.,1
